icon,name,damage
Wand_of_Sparking.png,https://terraria.fandom.com/wiki/Wand_of_Sparking,14
Wand_of_Frosting.png,https://terraria.fandom.com/wiki/Wand_of_Frosting,15
Thunder_Zapper.png,https://terraria.fandom.com/wiki/Thunder_Zapper,20
Amethyst_Staff.png,https://terraria.fandom.com/wiki/Amethyst_Staff,15
Topaz_Staff.png,https://terraria.fandom.com/wiki/Topaz_Staff,16
Sapphire_Staff.png,https://terraria.fandom.com/wiki/Sapphire_Staff,18
Emerald_Staff.png,https://terraria.fandom.com/wiki/Emerald_Staff,19
Ruby_Staff.png,https://terraria.fandom.com/wiki/Ruby_Staff,21
Diamond_Staff.png,https://terraria.fandom.com/wiki/Diamond_Staff,23
Amber_Staff.png,https://terraria.fandom.com/wiki/Amber_Staff,21
Vilethorn.png,https://terraria.fandom.com/wiki/Vilethorn,10
Weather_Pain.png,https://terraria.fandom.com/wiki/Weather_Pain,13
Magic_Missile.png,https://terraria.fandom.com/wiki/Magic_Missile,35
Aqua_Scepter.png,https://terraria.fandom.com/wiki/Aqua_Scepter,27
Flower_of_Fire.png,https://terraria.fandom.com/wiki/Flower_of_Fire,48
Flamelash.png,https://terraria.fandom.com/wiki/Flamelash,32
Sky_Fracture.png,https://terraria.fandom.com/wiki/Sky_Fracture,38
Crystal_Serpent.png,"https://terraria.fandom.com/wiki/Crystal_Serpent ",40
Flower_of_Frost.png,https://terraria.fandom.com/wiki/Flower_of_Frost,60
Frost_Staff.png,https://terraria.fandom.com/wiki/Frost_Staff,46
Crystal_Vile_Shard.png,https://terraria.fandom.com/wiki/Crystal_Vile_Shard,25
Life_Drain.png,https://terraria.fandom.com/wiki/Life_Drain,35
Meteor_Staff.png,https://terraria.fandom.com/wiki/Meteor_Staff,50
Poison_Staff.png,https://terraria.fandom.com/wiki/Poison_Staff,43
Rainbow_Rod.png,https://terraria.fandom.com/wiki/Rainbow_Rod,50
Unholy_Trident.png,https://terraria.fandom.com/wiki/Unholy_Trident,88
Tome_of_Infinite_Wisdom.png,https://terraria.fandom.com/wiki/Tome_of_Infinite_Wisdom,36
Venom_Staff.png,https://terraria.fandom.com/wiki/Venom_Staff,44
Nettle_Burst.png,https://terraria.fandom.com/wiki/Nettle_Burst,35
Bat_Scepter.png,https://terraria.fandom.com/wiki/Bat_Scepter,35
Blizzard_Staff.png,https://terraria.fandom.com/wiki/Blizzard_Staff,58
Inferno_Fork.png,https://terraria.fandom.com/wiki/Inferno_Fork,70
Shadowbeam_Staff.png,https://terraria.fandom.com/wiki/Shadowbeam_Staff,80
Spectre_Staff.png,https://terraria.fandom.com/wiki/Spectre_Staff,65
Resonance_Scepter.png,https://terraria.fandom.com/wiki/Resonance_Scepter,70
Razorpine.png,https://terraria.fandom.com/wiki/Razorpine,48
Staff_of_Earth.png,https://terraria.fandom.com/wiki/Staff_of_Earth,125
Betsys_Wrath.png,https://terraria.fandom.com/wiki/Betsy%27s_Wrath,100
