icon,name,damage
Gray_Zapinator.png,https://terraria.fandom.com/wiki/Gray_Zapinator,42
Space_Gun.png,https://terraria.fandom.com/wiki/Space_Gun,17
Bee_Gun.png,https://terraria.fandom.com/wiki/Bee_Gun,9
Roman_candle.png,https://terraria.fandom.com/wiki/Roman_candle,10
Laser_Rifle.png,https://terraria.fandom.com/wiki/Laser_Rifle,29
Orange_Zapinator.png,https://terraria.fandom.com/wiki/Orange_Zapinator,100
Zapinator.png,https://terraria.fandom.com/wiki/Zapinator,50
Wasp_Gun.png,https://terraria.fandom.com/wiki/Wasp_Gun,31
Leaf_Blower.png,https://terraria.fandom.com/wiki/Leaf_Blower,48
Rainbow_Gun.png,https://terraria.fandom.com/wiki/Rainbow_Gun,45
Heat_Ray.png,https://terraria.fandom.com/wiki/Heat_Ray,90
Laser_Machinegun.png,https://terraria.fandom.com/wiki/Laser_Machinegun,60
Charged_Blaster_Cannon.png,https://terraria.fandom.com/wiki/Charged_Blaster_Cannon,100
Bubble_Gun.png,https://terraria.fandom.com/wiki/Bubble_Gun,70
