icon,name,damage
Red_Ryder.png,https://terraria.fandom.com/wiki/Red_Ryder,20
Flintlock_Pistol.png,https://terraria.fandom.com/wiki/Flintlock_Pistol,13
Musket.png,https://terraria.fandom.com/wiki/Musket,31
The_Undertaker.png,https://terraria.fandom.com/wiki/The_Undertaker,19
Sandgun.png,https://terraria.fandom.com/wiki/Sandgun,30
Revolver.png,https://terraria.fandom.com/wiki/Revolver,20
Minishark.png,https://terraria.fandom.com/wiki/Minishark,6
Boomstick.png,https://terraria.fandom.com/wiki/Boomstick,14
Quad-Barrel_Shotgun.png,https://terraria.fandom.com/wiki/Quad-Barrel_Shotgun,14
Handgun.png,https://terraria.fandom.com/wiki/Handgun,26
Phoenix_Blaster.png,https://terraria.fandom.com/wiki/Phoenix_Blaster,30
Pew-matic_Horn.png,https://terraria.fandom.com/wiki/Pew-matic_Horn,20
Megashark.png,https://terraria.fandom.com/wiki/Pew-matic_Horn,20
Venus_Magnum.png,https://terraria.fandom.com/wiki/Venus_Magnum,50
Tactical_Shotgun.png,https://terraria.fandom.com/wiki/Tactical_Shotgun,29
Sniper_Rifle.png,https://terraria.fandom.com/wiki/Sniper_Rifle,185
Candy_Corn_Rifle.png,https://terraria.fandom.com/wiki/Candy_Corn_Rifle,44
Chain_Gun.png,https://terraria.fandom.com/wiki/Chain_Gun,31
Xenopopper.png,https://terraria.fandom.com/wiki/Xenopopper,45
Vortex_Beater.png,https://terraria.fandom.com/wiki/Vortex_Beater,50
Clockwork_Assault_Rifle.png,https://terraria.fandom.com/wiki/Clockwork_Assault_Rifle,17
Gatligator.png,https://terraria.fandom.com/wiki/Gatligator,21
Shotgun.png,https://terraria.fandom.com/wiki/Shotgun,24
Onyx_Blaster.png,https://terraria.fandom.com/wiki/Onyx_Blaster,24
Coin_Gun.png,https://terraria.fandom.com/wiki/Coin_Gun,0
Uzi.png,https://terraria.fandom.com/wiki/Uzi,30
S.D.M.G..png,https://terraria.fandom.com/wiki/S.D.M.G.,85
